"Attribute","meanImp","medianImp","minImp","maxImp","normHits","decision","year","rank"
"Average.Opponent.Significant.Strike.Percentage",8.06244009753427,8.64731653822795,0,10.611441929162,0.946236559139785,"Confirmed",2001,1
"Average.Kockdowns",7.19645529159957,7.81393740241065,0,9.17218064574642,0.935483870967742,"Confirmed",2001,2
"Average.Clinch.Attempts",3.69464831162465,3.94679647175111,0,5.43123147891753,0.709677419354839,"Confirmed",2001,3
"Average.Head.Strikes.Landed",1.66376417940883,1.58666484433614,-0.571549223158856,3.94625882278762,0.333333333333333,"Rejected",2001,4
"Average.Total.Strikes.Landed",1.48725601698976,1.49264666909959,0.847150993977259,2.19667587948133,0,"Rejected",2001,5
"Average.Opponent.Leg.Strikes.Landed",1.18025651516031,1.15226356911856,0.0859575653592121,2.07446059176748,0,"Rejected",2001,6
"Average.Opponent.Clinches.Landed",1.13488991594933,1.35588516448662,-0.941973115656793,1.9604251529609,0,"Rejected",2001,7
"Average.Opponent.Reversals",1.11230918892525,1.3806992723598,0,1.69591939289598,0,"Rejected",2001,8
"Average.Opponent.Leg.Strikes.Attempted",0.9988815323525,1.3720372692144,-0.390626324554399,1.71459504531897,0,"Rejected",2001,9
"Average.Opponent.Significant.Strikes.Landed",0.958376777950201,1.14948721481467,-0.1639321843445,1.72467235299409,0,"Rejected",2001,10
"Average.Opponent.Take.Downs.Attempted",0.822443742269151,0.9117075126831,-1.08773896219254,3.04817051894554,0.10752688172043,"Rejected",2001,11
"Average.Total.Strikes.Attempted",0.768956091081487,1.02439794526217,-1.38942503594182,1.95544526644015,0,"Rejected",2001,12
"Average.Body.Strikes.Attempted",0.694366801477978,1.00100150250438,-1.00100150250438,1.73048326707831,0,"Rejected",2001,13
"Average.Opponent.Kockdowns",0.638562887968056,1.00100150250438,-1.00100150250438,1.38062136715865,0,"Rejected",2001,14
"Average.Take.Down.Percentage",0.634455691929282,1.00100150250438,-1.72556799401829,1.70743011656623,0,"Rejected",2001,15
"Average.Clinches.Landed",0.592080663499063,0.559150044352973,-1.00100150250438,1.93332912178418,0,"Rejected",2001,16
"Average.Strikes.Landed.from.Distance",0.49813095042056,0.320223465861884,-1.00461918172306,2.00413097691397,0,"Rejected",2001,17
"Average.Opponent.Strikes.Landed.from.Distance",0.495317340326573,0.404958766080585,-1.09451428587273,2.17691416667871,0,"Rejected",2001,18
"Average.Ground.Strikes.Landed",0.408807898769335,0.223651532530411,-1.00100150250438,1.9040243887352,0,"Rejected",2001,19
"Average.Opponent.Significant.Strikes.Attempted",0.374241933080613,-0.136092844812818,-1.00100150250438,2.16097330600228,0,"Rejected",2001,20
"Average.Opponent.Strike.Attempts.from.Distance",0.218967764324752,0.0592548166996618,-1.00100150250438,1.38942503594182,0,"Rejected",2001,21
"Average.Leg.Strikes.Landed",0.200200300500877,0,-1.00100150250438,1.00100150250438,0,"Rejected",2001,22
"Average.Opponent.Clinch.Attempts",0.161101633159118,0.0118015219865404,-1.00100150250438,1.28749810475336,0,"Rejected",2001,23
"Average.Opponent.Head.Strikes.Attempted",0.128905897424553,1.96261557335472e-16,-1.00100150250438,1.40275209380409,0,"Rejected",2001,24
"Average.Reversals",0,0,0,0,0,"Rejected",2001,25
"Average.Leg.Strikes.Attempted",-0.0823354407012582,0,-1.70196501287574,1.00100150250438,0,"Rejected",2001,26
"Average.Opponent.Head.Strikes.Landed",-0.095252820690308,-0.330534528067651,-1.23949661664238,1.94903896837899,0,"Rejected",2001,27
"Average.Strike.Attempts.from.Distance",-0.0975025492447794,0.109648283406926,-1.41676707183341,1.0168485405045,0,"Rejected",2001,28
"Average.Head.Strikes.Attempted",-0.139489304707755,-0.0817363164353105,-1.91968496901196,1.69975302666866,0,"Rejected",2001,29
"Average.Opponent.Take.Down.Percentage",-0.141120774204966,0,-1.41120774204966,3.92523114670944e-16,0,"Rejected",2001,30
"Average.Opponent.Passes.of.Guard",-0.200200300500877,0,-1.00100150250438,0,0,"Rejected",2001,31
"Average.Opponent.Ground.Strikes.Landed",-0.313084912644491,-0.535514957465831,-1.61325392779224,1.34406227991274,0,"Rejected",2001,32
"Average.Body.Strikes.Landed",-0.323397273882069,-0.100004000240016,-1.40834895880057,1.00100150250438,0,"Rejected",2001,33
